stop_id,stop_name,stop_lat,stop_lon
MA-00000040,Avenida La Donosa 5602,-31.452407684153815,-64.2599129676819
MA-00000934,De Las Exposiciones 4186,-31.467956473518754,-64.14300084114076
MA-00000924,Prudencio Murguiondo 4668,-31.46677599091518,-64.14364457130434
MA-00000916,27 de Abril 504,-31.414984835163107,-64.19144153594972
C4830,Calderón de La Barca 1366,-31.385040324804656,-64.19243160635233
C8234,Avenida Colón 5513,-31.39573496707538,-64.25469604512388
MA-00000883,Avenida Armada Argentina 2000,-31.47131939467578,-64.22950208187105
MA-00000876,Dirección desconocida,-31.4955746014195,-64.2662698030472
MA-00000868,Dirección desconocida,-31.35061339105316,-64.15140377037923
MA-00000857,Carmelo Ibarra 451,-31.474023370180593,-64.20905828475954
MA-00000847,Isla Verde 2080,-31.478644196562716,-64.23420667648317
MA-00000835,Abad e Illana 1214,-31.388281719477426,-64.16385769844057
MA-00000824,Dirección desconocida,-31.349234019895384,-64.14888997528844
p36_vuelta_a1,Mariano Fragueíro 3618,-31.37218841778393,-64.18378114700319
MA-00000715,Avenida Amadeo Sabattini 359,-31.425678602117298,-64.17129278182985
MA-00000700,Gobernación 1332,-31.47636583741514,-64.2230272293091
MA-00000624,Monseñor Miguel de Andrea 1172,-31.393886706965237,-64.21301722526552
MA-00000613,San Jerónimo 2120,-31.422693991882724,-64.15640115737916
MA-00000602,Avenida Vélez Sarsfield 2177,-31.439131057027843,-64.19620513916017
MA-00000587,Rodríguez de Ruesca 613,-31.35983033524008,-64.18914556503297
C1650,Los Álamos 7891,-31.337863,-64.310048
MA-00000556,Avenida Gobernador Amadeo Sabattini 3254,-31.43298866483908,-64.14323151111604
c7711,Cartago 1611,-31.381302492946514,-64.16711926460268
C4194,Bulevar Juan Domingo Perón 60,-31.41921,-64.17594
MA-00000475,Avenida Ambrosio Olmos 887,-31.431537683325864,-64.1910606622696
MA-00000462,Bermudas 238,-31.4622094878242,-64.20522809028627
MA-00000456,Juan Vucetich 7671,-31.465014390358338,-64.08127784729005
MA-00000447,Av. Vucetich 7800-7892,-31.465023541615707,-64.07863318920137
MA-00000410,Avenida Sagrada Familia 637,-31.39323189317168,-64.23363268375398
MA-00000406,Avenida Vélez Sarsfield 2343,-31.4407199154711,-64.19655575027467
MA-00000392,Río Pinto 1643,-31.467288450307873,-64.23504352569581
MA-00000386,Avenida Armada Argentina 64,-31.450833442680008,-64.20165538787843
MA-00000358,Curunao 814,-31.410681348627417,-64.25872206687929
MA-00000276,Chirinos de Posadas 4361,-31.446531601415742,-64.14213180541994
MA-00000241,Emilio Salgari 2020,-31.433396034159944,-64.12665009498598
MA-00000214,Leonardo Rosales 3331,-31.42934057077919,-64.14215326309206
MA-00000208,Avenida Vélez Sarsfield 4499,-31.463005667720054,-64.20101165771486
MA-00000694,Concejal Felipe Belardinelli 3994,-31.457514,-64.196522
MA-00000521,Avenida Doctor Arturo Capdevila 2849,-31.376979142393555,-64.13057684898378
C4032,Avenida General Paz 65,-31.414484965577053,-64.18647576123475
C7144,Ribero 74,-31.398182,-64.262515
C7152,Alto Alegre 674,-31.407467,-64.263968
MA-00000939,Avenida Idelfonso Muñecas 3980,-31.48089505112741,-64.14506614208223
MA-00000919,Dirección desconocida,-31.377437133865655,-64.25494551658632
MA-00000909,Avenida Agustín Roque Arias 2830,-31.44164373781403,-64.2428755760193
MA-00000899,Estocolmo 4386,-31.44851779522661,-64.24516081809999
MA-00000885,Avenida Armada Argentina 2162,-31.47425212932968,-64.23306941986085
MA-00000865,Florentino Ameghino 4709,-31.355723384424756,-64.1589372707879
MA-00000860,Tilcara 870,-31.473963892710238,-64.21536684036256
MA-00000851,Concejal Felipe Belardinelli 2971,-31.445630020284995,-64.19389843940736
MA-00000839,Tilcara 1024,-31.473451469861672,-64.21764671802522
MA-00000008,Bulevar San Juan 484,-31.418981693140555,-64.19248022139072
MA-00000667,Ricardo Rojas 9243,-31.33252,-64.29265
MA-00000623,Avenida General Manuel Savio 5570,-31.460406618671872,-64.12475109100343
MA-00000600,Cacheuta 3403,-31.446906876283634,-64.21136498451234
MA-00000589,Avenida Libertador San Martín 29,-31.557784990530692,-64.19486403465272
C1644,Molino De Torres 6352,-31.346912,-64.296951
MA-00000538,República del Libano 1415,-31.385048625207606,-64.16999459266664
MA-00000523,Copacabana 21,-31.391807771882355,-64.20389771461488
MA-00000480,Boulevard Bernardino Rivadavia 3424,-31.336648824368336,-64.21528100967409
c6752,Cafayate 4757,-31.4639848681937,-64.2094123363495
MA-00000451,Avenida Amadeo Sabattini 5879,-31.462502336389072,-64.1054928302765
MA-00000424,Luis José de Tejeda 4629,-31.3645942066538,-64.23825144767763
MA-00000411,Avenida Colón 4065,-31.398383276923223,-64.23334300518037
MA-00000401,Esquel 4202,-31.458191879107744,-64.21131134033205
MA-00000385,Avenida Vélez Sarsfield 1892,-31.436453536150516,-64.19549703598024
MA-00000380,General Justo José de Urquiza 1875,-31.39341047920465,-64.18631315231325
S00000305,Humberto Primo 656,-31.407403241334475,-64.19077634811403
MA-00000363,Pasaje Puch 3700,-31.36576681489715,-64.1506612300873
MA-00000348,Democracia 1800,-31.38496619358707,-64.22040939331056
MA-00000428,Avenida Donato Álvarez 7243,-31.33873814337061,-64.25715565681459
